section,experiment_name,experiment_type,num_bands,geometry,metric,stage1_value,stage2_value,improvement_amount,interpretation,tectonic_band_number,band_type,stage,value,computed_from_map_long
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,6.0,slow band,Stage 2,0.18279086,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,6.0,slow band,Stage 2,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,1.0,fast band,Stage 1,65.10591,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,1.0,fast band,Stage 1,58.852516,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,1.0,fast band,Stage 1,63.34151,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,1.0,fast band,Stage 1,0.6845619,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,1.0,fast band,Stage 1,0.4607883,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,1.0,fast band,Stage 1,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,1.0,fast band,Stage 2,55.649315,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,1.0,fast band,Stage 2,74.802025,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,1.0,fast band,Stage 2,77.00123,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,1.0,fast band,Stage 2,0.62731516,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,1.0,fast band,Stage 2,0.5940951,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,1.0,fast band,Stage 2,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,2.0,slow band,Stage 1,53.315945,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,2.0,slow band,Stage 1,78.73748,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,2.0,slow band,Stage 1,79.70376,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,2.0,slow band,Stage 1,0.6332531,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,2.0,slow band,Stage 1,0.57914746,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,2.0,slow band,Stage 1,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,2.0,slow band,Stage 2,73.522194,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,2.0,slow band,Stage 2,45.233448,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,2.0,slow band,Stage 2,46.65805,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,2.0,slow band,Stage 2,0.6773169,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,2.0,slow band,Stage 2,0.4764138,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,2.0,slow band,Stage 2,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,3.0,fast band,Stage 1,57.646973,
