tectonic_band_number,band_type,FWI stage,Stage description,true_top_depth_inside_silicon_micrometers,true_bottom_depth_inside_silicon_micrometers_exclusive,true_center_depth_inside_silicon_micrometers,true_thickness_micrometers,detected_top_depth_inside_silicon_micrometers,detected_bottom_depth_inside_silicon_micrometers_exclusive,detected_center_depth_inside_silicon_micrometers,detected_thickness_micrometers,top_boundary_shift_micrometers,bottom_boundary_shift_micrometers,center_shift_micrometers,thickness_change_micrometers,thickness_change_percent,top_shift_interpretation,bottom_shift_interpretation,center_shift_interpretation,thickness_interpretation,boundary_detection_threshold_fraction,minimum_active_width_fraction,search_margin_cells,expected_sign_profile_max_m_per_s,experiment_name,experiment_type,num_bands,geometry
3,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,75.0,85.0,77.5,10.0,55.0,130.00000000000003,90.0,75.0,-20.0,45.00000000000003,12.5,65.0,650.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,51.46689,10 ideal bands,resolution_limit,10,ideal_horizontal
3,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,75.0,85.0,77.5,10.0,30.000000000000004,135.0,80.0,105.0,-45.0,50.0,2.5,95.0,950.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,198.79341,10 ideal bands,resolution_limit,10,ideal_horizontal
4,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,100.0,110.0,102.5,10.0,85.0,160.0,120.0,75.0,-15.0,50.0,17.5,65.0,650.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,52.53056,10 ideal bands,resolution_limit,10,ideal_horizontal
4,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,100.0,110.0,102.5,10.0,50.0,160.0,102.5,110.0,-50.0,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,201.47862,10 ideal bands,resolution_limit,10,ideal_horizontal
5,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,125.0,135.0,127.5,10.0,110.0,185.00000000000003,145.0,75.0,-15.0,50.00000000000003,17.499999999999986,65.0,650.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,51.46689,10 ideal bands,resolution_limit,10,ideal_horizontal
5,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,125.0,135.0,127.5,10.0,75.0,185.00000000000003,127.5,110.0,-50.0,50.00000000000003,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,238.62846,10 ideal bands,resolution_limit,10,ideal_horizontal
6,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,150.0,160.0,152.50000000000003,10.0,140.00000000000003,210.0,172.50000000000003,70.00000000000001,-9.999999999999972,50.0,20.0,60.000000000000014,600.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,66.62376,10 ideal bands,resolution_limit,10,ideal_horizontal
6,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,150.0,160.0,152.50000000000003,10.0,100.0,210.0,152.50000000000003,110.0,-50.0,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,235.34523,10 ideal bands,resolution_limit,10,ideal_horizontal
7,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,175.00000000000003,185.00000000000003,177.5,10.0,125.0,235.00000000000003,177.5,110.0,-50.00000000000003,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,54.67317,10 ideal bands,resolution_limit,10,ideal_horizontal
7,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,175.00000000000003,185.00000000000003,177.5,10.0,125.0,235.00000000000003,177.5,110.0,-50.00000000000003,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,287.4557,10 ideal bands,resolution_limit,10,ideal_horizontal
8,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,200.0,210.0,202.50000000000003,10.0,150.0,260.00000000000006,202.50000000000003,110.0,-50.0,50.00000000000006,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,97.598885,10 ideal bands,resolution_limit,10,ideal_horizontal
8,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,200.0,210.0,202.50000000000003,10.0,150.0,260.00000000000006,202.50000000000003,110.0,-50.0,50.00000000000006,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,288.0298,10 ideal bands,resolution_limit,10,ideal_horizontal
9,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,225.00000000000003,235.00000000000003,227.50000000000003,10.0,175.00000000000003,240.00000000000003,205.00000000000003,65.00000000000001,-50.0,5.0,-22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,54.67317,10 ideal bands,resolution_limit,10,ideal_horizontal
9,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,225.00000000000003,235.00000000000003,227.50000000000003,10.0,175.00000000000003,240.00000000000003,205.00000000000003,65.00000000000001,-50.0,5.0,-22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,287.4557,10 ideal bands,resolution_limit,10,ideal_horizontal
10,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,250.0,260.00000000000006,252.5,10.0,260.00000000000006,280.00000000000006,267.5,20.0,10.000000000000057,20.0,15.0,10.0,100.0,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,213.18181,10 ideal bands,resolution_limit,10,ideal_horizontal
10,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,250.0,260.00000000000006,252.5,10.0,200.0,265.00000000000006,230.0,65.00000000000001,-50.0,5.0,-22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,288.0298,10 ideal bands,resolution_limit,10,ideal_horizontal
1,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,50.0,75.0,60.00000000000001,25.0,45.0,95.0,67.5,50.0,-5.0,20.0,7.499999999999993,25.0,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,261.66922,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
1,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,50.0,75.0,60.00000000000001,25.0,45.0,95.0,67.5,50.0,-5.0,20.0,7.499999999999993,25.0,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,269.5181,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
2,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,125.0,145.0,132.50000000000003,20.0,105.0,145.0,122.50000000000004,40.0,-20.0,0.0,-10.0,20.0,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,128.98256,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
2,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,125.0,145.0,132.50000000000003,20.0,115.0,155.0,132.50000000000003,40.0,-10.0,10.0,0.0,20.0,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,130.7716,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,200.0,230.0,212.50000000000003,30.000000000000004,195.00000000000003,240.00000000000003,215.00000000000003,45.0,-4.999999999999972,10.000000000000028,2.5,14.999999999999996,49.99999999999998,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,338.34674,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,200.0,230.0,212.50000000000003,30.000000000000004,195.00000000000003,235.00000000000003,212.50000000000003,40.0,-4.999999999999972,5.000000000000028,0.0,9.999999999999996,33.33333333333332,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,397.67026,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
